項次,停車場名稱,經度(WGS84),緯度(WGS84)
135,捷運士林站自行車停車區,121.52621,25.09401
136,捷運士林站自行車停車區,121.52655,25.092979999999997
137,捷運劍潭站自行車停車區,121.52532,25.08587
138,捷運劍潭站自行車停車區,121.52479,25.08306
139,捷運蘆洲站自行車停車區,121.46531,25.09119
140,捷運永寧站自行車停車區,121.43562,24.96601
141,捷運永寧站自行車停車區,121.43529,24.9664
142,捷運永寧站自行車停車區,121.43663000000001,24.96699
143,捷運府中站自行車停車區,121.45945,25.00911
144,捷運府中站自行車停車區,121.45879,25.00905
145,捷運府中站自行車停車區,121.45893999999998,25.00824
146,捷運紅樹林站自行車停車區,121.45913,25.15365
147,捷運內湖站自行車停車區,121.59392,25.08406
